family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
dense,3,20560722,0,1,2,1.3050003142642827e-13,8.827432804445921e-15,1.0000000000002256
dense,3,20560722,0,1,3,3.6669390464353486e-14,1.1324274851176597e-14,1.000000000000056
dense,3,20560722,0,2,3,7.831211783396319e-14,1.354472090042691e-14,1.0000000000001343
dense,3,20560722,1,2,3,1.8991025147916744e-14,1.7319479184152442e-14,1.0000000000000322
dense,4,20560723,0,1,2,2.927154405289544e-13,1.7708057242771247e-13,1.000000000000511
dense,4,20560723,0,1,3,1.7233819229918068e-13,4.8627768478581856e-14,1.000000000000301
dense,4,20560723,0,2,3,1.1326461395030054e-13,2.0317081350640365e-14,1.0000000000001974
dense,4,20560723,1,2,3,5.47135342682433e-14,6.5328718165818575e-15,1.0000000000000941
dense,5,20560724,0,1,2,2.7736685783634668e-14,8.548717289613705e-15,1.000000000000042
dense,5,20560724,0,1,3,1.2595054688014974e-14,4.6629367034256575e-15,1.0000000000000067
dense,5,20560724,0,2,3,8.92046200676814e-14,1.5987211554602254e-14,1.0000000000001548
dense,5,20560724,1,2,3,1.799058471709163e-13,2.089253342355268e-14,1.0000000000003104
dense,6,20560725,0,1,2,3.2217525831813746e-13,7.704947790898586e-14,1.0000000000005598
dense,6,20560725,0,1,3,8.096412876165716e-14,1.2811624556509883e-14,1.000000000000139
dense,6,20560725,0,2,3,5.206481086439634e-14,2.964295475749168e-14,1.0000000000000957
dense,6,20560725,1,2,3,9.234439143075134e-14,4.130584298503465e-14,1.0000000000001457
dense,7,20560726,0,1,2,9.140702059060625e-15,1.2323475573339238e-14,1.0000000000000107
dense,7,20560726,0,1,3,2.980069148226112e-14,3.175237850427948e-14,1.0000000000000517
dense,7,20560726,0,2,3,9.597668395640401e-15,1.199040866595169e-14,1.0000000000000115
dense,7,20560726,1,2,3,1.8145680769820436e-14,1.4432899320127035e-14,1.0000000000000329
dense,8,20560727,0,1,2,4.004869311885755e-14,1.709743457922741e-14,1.0000000000000655
dense,8,20560727,0,1,3,9.548425638443439e-14,3.6415315207705135e-14,1.000000000000168
dense,8,20560727,0,2,3,5.116345762245289e-14,2.531308496145357e-14,1.0000000000000862
dense,8,20560727,1,2,3,7.524586999290869e-14,2.7574319489943937e-14,1.0000000000001223
dense,9,20560728,0,1,2,1.1376759388621932e-13,1.587618925213974e-14,1.000000000000198
dense,9,20560728,0,1,3,1.719428119047156e-14,8.770761894538737e-15,1.0000000000000246
dense,9,20560728,0,2,3,3.542047294216424e-14,1.6986412276764895e-14,1.0000000000000524
dense,9,20560728,1,2,3,2.85139904251953e-14,9.769962616701378e-15,1.0000000000000495
dense,10,20560729,0,1,2,8.931843932854252e-14,1.7208456881689926e-14,1.000000000000154
dense,10,20560729,0,1,3,3.003272121467815e-14,1.765254609153999e-14,1.0000000000000504
dense,10,20560729,0,2,3,5.274515769389255e-14,4.984901380566953e-14,1.0000000000000968
dense,10,20560729,1,2,3,1.6892961536979538e-14,5.417877710955188e-15,1.0000000000000153
dense,11,20560730,0,1,2,1.41908597480315e-13,3.3508930918135534e-14,1.0000000000002414
dense,11,20560730,0,1,3,2.331214360010359e-14,2.3203661214665772e-14,1.0000000000000373
dense,11,20560730,0,2,3,1.170114616164538e-13,3.1308289294429414e-14,1.0000000000002034
dense,11,20560730,1,2,3,2.0657867930508516e-13,4.3520742565306136e-14,1.000000000000356
dense,12,20560731,0,1,2,9.967113943373868e-14,2.0317081350640365e-14,1.0000000000001734
dense,12,20560731,0,1,3,2.958593196535295e-14,1.942890293094024e-14,1.0000000000000406
dense,12,20560731,0,2,3,2.86869461690268e-14,3.5083047578154947e-14,1.0000000000000568
dense,12,20560731,1,2,3,4.516785139546804e-14,2.499940374815195e-14,1.0000000000000724
dense,13,20560732,0,1,2,2.037501679384183e-14,1.8762769116165146e-14,1.000000000000033
dense,13,20560732,0,1,3,2.1498747559714484e-14,4.170303622396069e-15,1.0000000000000346
dense,13,20560732,0,2,3,4.501598241608357e-14,1.2323475573339238e-14,1.0000000000000784
dense,13,20560732,1,2,3,6.591386592812393e-14,1.6431300764452317e-14,1.000000000000114
dense,14,20560733,0,1,2,1.0709410767816152e-14,8.659739592076221e-15,1.0000000000000184
dense,14,20560733,0,1,3,1.2307309942620525e-14,3.774758283725532e-15,1.0000000000000162
dense,14,20560733,0,2,3,3.881754287907553e-14,8.43769498715119e-15,1.0000000000000673
dense,14,20560733,1,2,3,5.505163952284354e-15,8.215650382226158e-15,1.0000000000000049
dense,15,20560734,0,1,2,3.76621250129838e-14,1.687538997430238e-14,1.0000000000000655
dense,15,20560734,0,1,3,9.882175594793199e-15,2.220446049250313e-15,1.0000000000000036
dense,15,20560734,0,2,3,1.3609946575763637e-14,2.2452449815821395e-15,1.000000000000011
dense,15,20560734,1,2,3,2.8988306182814703e-14,3.064215547965432e-14,1.0000000000000553
dense,16,20560735,0,1,2,2.7535971016534103e-14,9.28785013117438e-15,1.000000000000039
dense,16,20560735,0,1,3,1.5523689458559012e-13,3.952393967665557e-14,1.0000000000002676
dense,16,20560735,0,2,3,5.3304806791661743e-14,8.659739592076221e-15,1.0000000000000928
dense,16,20560735,1,2,3,3.8717820817205586e-14,3.898821953476867e-15,1.0000000000000673
dense,17,20560736,0,1,2,4.609834804137079e-14,2.6201263381153694e-14,1.000000000000082
dense,17,20560736,0,1,3,6.671691020008339e-14,4.6407322429331543e-14,1.0000000000001161
dense,17,20560736,0,2,3,8.187171735053203e-14,1.6440773138377976e-14,1.0000000000001399
dense,17,20560736,1,2,3,5.2654156719260684e-14,2.2612128791830597e-14,1.000000000000092
dense,18,20560737,0,1,2,8.810798164723509e-14,3.566340147579922e-15,1.0000000000001528
dense,18,20560737,0,1,3,8.074373463306714e-14,2.4551342869518425e-14,1.0000000000001361
dense,18,20560737,0,2,3,3.372838629181669e-14,1.6431300764452317e-14,1.0000000000000586
dense,18,20560737,1,2,3,2.971722321275568e-14,1.9984014443252818e-14,1.0000000000000504
dense,19,20560738,0,1,2,1.7007704553993274e-13,2.1719939037812226e-14,1.0000000000002933
dense,19,20560738,0,1,3,1.1418053492376853e-13,2.4400766543353795e-14,1.0000000000001938
dense,19,20560738,0,2,3,9.022359384381261e-14,3.3306690738754696e-14,1.0000000000001579
dense,19,20560738,1,2,3,3.5202401635376934e-13,1.3910526708868263e-14,1.0000000000006093
ill_conditioned,0,20660719,0,1,2,1008651805472.0157,50673771738.65856,3579125070829.2046
ill_conditioned,0,20660719,0,1,3,1758354602694.596,10982877907.844395,25643475031328.43
ill_conditioned,0,20660719,0,2,3,9033695665572.33,292918134867.5949,2978645007068.9326
ill_conditioned,0,20660719,1,2,3,1178274052250.4385,352680464659.8227,22154129440.26134
ill_conditioned,1,20660720,0,1,2,95034680918.59332,154688934171.35815,1556317575.9760635
ill_conditioned,1,20660720,0,1,3,714032160150.8022,1174522757867.9434,28551386610.7767
ill_conditioned,1,20660720,0,2,3,6963412817464.015,882186196795.4161,499620375437.0371
ill_conditioned,1,20660720,1,2,3,7432225135728.78,142250631514.0253,1384627241534.4456
ill_conditioned,2,20660721,0,1,2,155179341425.26736,220793158702.38525,1227121608.6749067
ill_conditioned,2,20660721,0,1,3,202934466052.99667,39902455643.21733,72436161520.34877
ill_conditioned,2,20660721,0,2,3,352915173725.4275,224712352658.47647,155093541457.0585
ill_conditioned,2,20660721,1,2,3,1314494024343.3071,551725279440.3606,23457986822.060276
ill_conditioned,3,20660722,0,1,2,126381245245.63293,136004283630.03267,131103807310.42603
ill_conditioned,3,20660722,0,1,3,2252584230206.9263,2494500611595.7354,213653866522.4062
ill_conditioned,3,20660722,0,2,3,115595845027.4671,105094125831.48741,35026682453.45884
ill_conditioned,3,20660722,1,2,3,12035724855.131554,1098756822.8330595,3906824243.5200834
ill_conditioned,4,20660723,0,1,2,666726545697.8319,31413304357.06224,119660854742.70897
ill_conditioned,4,20660723,0,1,3,211986233129.64862,6864221011.499065,61896913780.551056
ill_conditioned,4,20660723,0,2,3,743103477836.1072,151422961825.35376,1696369441701.3943
ill_conditioned,4,20660723,1,2,3,892086763517.9415,39353414247.563225,2539504301973.132
ill_conditioned,5,20660724,0,1,2,646631801238.8795,123446399786.97963,14024443402.965216
ill_conditioned,5,20660724,0,1,3,8703140807.411016,594452901.55166,221928427.43970937
ill_conditioned,5,20660724,0,2,3,3596506083802.2124,1266826464048.8784,61242374175.07915
ill_conditioned,5,20660724,1,2,3,2112873604363.0227,920010435648.1849,2525386459408.1265
ill_conditioned,6,20660725,0,1,2,548630710651.1398,507300561407.75836,14041104059.599741
ill_conditioned,6,20660725,0,1,3,4136915783.038058,324800288.93926406,15309194653.324677
ill_conditioned,6,20660725,0,2,3,11996062680.348251,11970960697.97267,45363986245.82435
ill_conditioned,6,20660725,1,2,3,92471261717.06113,63479749404.20888,7699528009.7568245
ill_conditioned,7,20660726,0,1,2,219806949678.88452,3297329833.22905,310642342872.4154
ill_conditioned,7,20660726,0,1,3,297605457153.5297,10092889794.143196,468878942070.92816
ill_conditioned,7,20660726,0,2,3,225392314834.93475,3376357099.8894506,11686712990139.752
ill_conditioned,7,20660726,1,2,3,87666412896.61317,26126023525.63981,30569003417.536343
ill_conditioned,8,20660727,0,1,2,5215281844.092775,4513912100.579178,243349097.96159828
ill_conditioned,8,20660727,0,1,3,57603444038.34824,2751991847.0576615,22971948107.074318
ill_conditioned,8,20660727,0,2,3,574259304426.9725,151367599582.2198,52502943417.41562
ill_conditioned,8,20660727,1,2,3,1584723462137.2368,583225214030.7964,40005969020.244865
ill_conditioned,9,20660728,0,1,2,273057192067.56897,55075874144.436226,137224516318.02615
ill_conditioned,9,20660728,0,1,3,125045158831.80287,36300780718.32587,26882033229.013737
ill_conditioned,9,20660728,0,2,3,10041127372.74538,5925050417.189698,2667247607.022319
ill_conditioned,9,20660728,1,2,3,47214697422.58262,7809123038.909276,2609180217.0755644
ill_conditioned,10,20660729,0,1,2,2567977574418.527,83721507191.47949,5131634188330.616
