complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,16,3,3,1,0,0.9999219536412157,0.012493463344272914,1.9380478516179578e-16,0.006367972153645474,False,False,True,5.2625080570578575e-05
triangle_complex,trivial_exact,17,3,3,1,0,0.9999987599032476,0.0015748625233137747,7.931925417377302e-17,0.0033970822580172166,False,False,True,5.5416952818632126e-05
triangle_complex,trivial_exact,18,3,3,1,0,0.9999347612856981,0.011422485391268656,2.2551586855364204e-16,0.013237766955194597,False,False,True,5.52500132471323e-05
triangle_complex,trivial_exact,19,3,3,1,0,0.9999205190101565,0.012607761992478159,6.73311024611345e-17,0.016975140675233216,False,False,True,5.258317105472088e-05
triangle_complex,trivial_exact,20,3,3,1,0,0.9999999613012129,0.0002782041919163464,1.199713416920315e-16,0.0010510437038113054,False,False,True,5.204114131629467e-05
triangle_complex,trivial_exact,21,3,3,1,0,0.9999883939883386,0.004817871793992224,1.8293424889549777e-16,0.019099256506589363,False,False,True,5.212496034801006e-05
triangle_complex,trivial_exact,22,3,3,1,0,0.9999986648750908,0.0016340893597630232,1.465166429538615e-16,0.001263757427547063,False,False,True,5.1541952416300774e-05
triangle_complex,trivial_exact,23,3,3,1,0,0.9998970688595413,0.014347532404490607,1.3036323275127325e-16,0.0179870936293098,False,False,True,5.158316344022751e-05
triangle_complex,trivial_exact,24,3,3,1,0,0.9999805465951054,0.0062375020123736375,7.162625313047558e-17,0.007894589841661241,False,False,True,5.191611126065254e-05
triangle_complex,trivial_exact,25,3,3,1,0,0.9999985787623422,0.0016859636104660973,5.4592755040257834e-17,0.005598986722853156,False,False,True,5.16669824719429e-05
triangle_complex,trivial_exact,26,3,3,1,0,0.9999994740443762,0.0010256271114555688,1.8770481772501741e-16,0.0025737156019252027,False,False,True,5.2958959713578224e-05
triangle_complex,trivial_exact,27,3,3,1,0,0.9999958397493942,0.002884524900934382,5.3118518535235185e-17,0.009845313753085895,False,False,True,5.191704258322716e-05
triangle_complex,trivial_exact,28,3,3,1,0,0.9993382700680036,0.03637336906983026,8.201098553418008e-17,0.01130755294213733,False,False,True,5.27920201420784e-05
triangle_complex,trivial_exact,29,3,3,1,0,0.9999983640297919,0.0018088498388950539,1.2157570471457484e-16,0.005394862932841717,False,False,True,5.170796066522598e-05
triangle_complex,trivial_exact,30,3,3,1,0,0.9999992581121436,0.0012181031001207991,2.0165615141279344e-16,0.004773577658604919,False,False,True,5.16669824719429e-05
triangle_complex,trivial_exact,31,3,3,1,0,0.999999747449953,0.0007107038976187482,8.408752414623804e-17,0.002681577280213634,False,False,True,5.1625072956085205e-05
triangle_complex,trivial_exact,32,3,3,1,0,0.9999995362379449,0.0009630804198352335,9.039414151755273e-17,0.0038631979682264357,False,False,True,5.1667215302586555e-05
triangle_complex,trivial_exact,33,3,3,1,0,0.9999996450089126,0.0008426043254089029,1.3791757653196455e-16,0.0019968267009962907,False,False,True,5.183299072086811e-05
triangle_complex,trivial_exact,34,3,3,1,0,0.9999795718839378,0.006391855350071365,1.2880978239622392e-16,0.0027689361969936437,False,False,True,5.145790055394173e-05
triangle_complex,trivial_exact,35,3,3,1,0,0.999999977957175,0.00020996583003979227,1.49515980225105e-16,0.0006736039580595126,False,False,True,5.133310332894325e-05
triangle_complex,trivial_exact,36,3,3,1,0,0.9999969423053642,0.002472929421178859,8.027253407019833e-17,0.005585213235303711,False,False,True,5.1459064707159996e-05
triangle_complex,trivial_exact,37,3,3,1,0,0.9999949300770076,0.0031843084462463804,7.848936568400249e-17,0.012739709727565066,False,False,True,5.120900459587574e-05
triangle_complex,trivial_exact,38,3,3,1,0,0.9999999055318503,0.00043466802372373726,2.7258417004201613e-16,0.0015851275260733032,False,False,True,5.158386193215847e-05
triangle_complex,trivial_exact,39,3,3,1,0,0.9999998613096936,0.0005266693397955632,2.20670797981831e-16,0.0024091764943237255,False,False,True,5.4167117923498154e-05
triangle_complex,trivial_exact,40,3,3,1,0,0.9999222390648256,0.01247059836519118,1.3600834082169008e-16,0.018115016551160563,False,False,True,5.1791081205010414e-05
triangle_complex,trivial_exact,41,3,3,1,0,0.9999954192127425,0.0030268058298539443,1.6923671975579303e-16,0.006696932093842631,False,False,True,5.2084214985370636e-05
triangle_complex,trivial_exact,42,3,3,1,0,0.9999773712213339,0.006727335673980038,1.8677170415279604e-16,0.00979530293577931,False,False,True,5.154102109372616e-05
triangle_complex,trivial_exact,43,3,3,1,0,0.9999891993576338,0.0046477056790656095,2.659876298504751e-16,0.01113402105628368,False,False,True,5.145790055394173e-05
triangle_complex,trivial_exact,44,3,3,1,0,0.999996224024052,0.0027480788995629148,1.7257931800089032e-16,0.006960116804564712,False,False,True,5.162484012544155e-05
triangle_complex,trivial_exact,45,3,3,1,0,0.9999959115642548,0.002859520025305962,1.9192734799013516e-16,0.003893924319825293,False,False,True,5.124998278915882e-05
triangle_complex,trivial_exact,46,3,3,1,0,0.9999975211881368,0.0022265708123125967,1.7988134856684174e-16,0.0039272012448434875,False,False,True,5.154218524694443e-05
triangle_complex,trivial_exact,47,3,3,1,0,0.9999297295381481,0.011854787461875776,6.018840914210151e-17,0.004463874974037126,False,False,True,5.129212513566017e-05
triangle_complex,trivial_exact,48,3,3,1,0,0.9999977196807962,0.0021355639087074665,1.7487439880474511e-16,0.007982760873466686,False,False,True,5.129212513566017e-05
triangle_complex,trivial_exact,49,3,3,1,0,0.9999998935189292,0.0004614782011832075,5.730096574139681e-17,0.0014601045322299938,False,False,True,5.1541952416300774e-05
triangle_complex,trivial_exact,50,3,3,1,0,0.9999885144476937,0.004792804262075303,1.7782143122125284e-16,0.01178098682412748,False,False,True,5.1416922360658646e-05
triangle_complex,trivial_exact,51,3,3,1,0,0.99999061220163,0.004333071498248355,1.546458931579262e-16,0.0058197149849812235,False,False,True,5.174987018108368e-05
triangle_complex,trivial_exact,52,3,3,1,0,0.9999961548882724,0.00277312254877405,1.2360730950042545e-16,0.007044985961483255,False,False,True,5.145790055394173e-05
