phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,0.2,16,shuffled_context_control,0.131,2.500486523941808,0.23487681028676155,0.0,0.008104485459625721
discovery,D4,32,0.2,16,structured_learned_router,0.5648333333333333,1.7745445474757253,0.2262986367440259,72.0,0.008229049853980541
discovery,D4,32,0.2,16,supplied_context_structured_retransport,0.8211666666666666,1.3517629179305075,0.45668929348049137,0.0,0.008271075785160065
discovery,D4,32,0.2,16,twistedmerge_hodge_lr,0.8211666666666666,1.3517629179305075,0.45668929348049137,56.0,0.008333590812981129
discovery,D4,32,0.2,64,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008250470273196697
discovery,D4,32,0.2,64,generic_linear,0.12533333333333335,2.178097902472458,0.10555789926742543,328.0,0.008145463652908802
discovery,D4,32,0.2,64,generic_low_rank_context_adapter,0.14225000000000002,2.529250459390249,0.2381238624780749,392.0,0.008271075785160065
discovery,D4,32,0.2,64,generic_mixture_of_experts,0.7241666666666667,1.944824567263239,0.5747921876613135,72.0,0.008104369044303894
discovery,D4,32,0.2,64,generic_two_layer_mlp,0.12025,2.1017803977718246,0.045573028679406866,792.0,0.008228933438658714
discovery,D4,32,0.2,64,learned_matrix_context_action,0.38708333333333333,1.8783349867095502,0.09779770134267969,520.0,0.008124974556267262
discovery,D4,32,0.2,64,shuffled_context_control,0.12958333333333333,2.495472608282866,0.23588317717485663,0.0,0.008208444342017174
discovery,D4,32,0.2,64,structured_learned_router,0.8063333333333332,1.388519345391527,0.4423612592042895,72.0,0.008187489584088326
discovery,D4,32,0.2,64,supplied_context_structured_retransport,0.82325,1.3512729679601008,0.4581739379533527,0.0,0.008146045729517937
discovery,D4,32,0.2,64,twistedmerge_hodge_lr,0.82325,1.3512729679601008,0.4581739379533527,56.0,0.008104019798338413
discovery,D4,32,0.2,256,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008104019798338413
discovery,D4,32,0.2,256,generic_linear,0.13174999999999998,2.09157800977774,0.02439064548265322,328.0,0.00804150477051735
discovery,D4,32,0.2,256,generic_low_rank_context_adapter,0.14308333333333334,2.3268419527486297,0.17676294827850353,392.0,0.008062692359089851
discovery,D4,32,0.2,256,generic_mixture_of_experts,0.7820833333333332,1.9411653461346838,0.6328488338268794,72.0,0.008103903383016586
