summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,candidate_individual_val_loss,1680,16.0,standardized_linear_beta,-4.459267330392258e-11,-1.8687210152849961e-10,1.635791260475367e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_linear_beta,-0.011020449031912816,-0.013294506869361232,-0.0075305230088933426,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,candidate_rank_fraction,1680,16.0,standardized_linear_beta,8.7988344908696e-12,4.588596142252889e-12,2.1890665654136513e-11,proxy_validation_target_not_test_selection,,,
per_fixed_setting_acceptance_auc,candidate_accepted_by_greedy_soup,obstruction_only,all_features,90,,auc,0.5,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,validation_margin_after_adding_candidate_proxy,obstruction_only,all_features,90,,r2,-0.12404379671923049,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,absolute_validation_degradation_if_rejected_proxy,obstruction_only,all_features,90,,r2,-0.12404379671923049,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_acceptance_auc,candidate_accepted_by_greedy_soup,local_quality_only,all_features,90,,auc,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,validation_margin_after_adding_candidate_proxy,local_quality_only,all_features,90,,r2,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,absolute_validation_degradation_if_rejected_proxy,local_quality_only,all_features,90,,r2,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_acceptance_auc,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,all_features,90,,auc,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,all_features,90,,r2,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
per_fixed_setting_regression_r2,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,all_features,90,,r2,1.0,,,stability_diagnostic_only,,fashion_mnist|mlp2|3|128|input_noise|activation,30.0
